year_month,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,y-1,item_lost
2016-02-01,0,1,2,2016,32,1,5,310.0,291
2016-03-01,1,1,3,2016,61,1,9,291.0,321
2016-04-01,4,2,4,2016,92,1,13,321.0,342
2016-05-01,6,2,5,2016,122,1,17,342.0,321
2016-06-01,2,2,6,2016,153,1,22,321.0,379
2016-07-01,4,3,7,2016,183,1,26,379.0,360
2016-08-01,0,3,8,2016,214,1,31,360.0,346
2016-09-01,3,3,9,2016,245,1,35,346.0,351
2016-10-01,5,4,10,2016,275,1,39,351.0,383
2016-11-01,1,4,11,2016,306,1,44,383.0,338
2016-12-01,3,4,12,2016,336,1,48,338.0,389
2017-01-01,6,1,1,2017,1,1,52,389.0,381
2017-02-01,2,1,2,2017,32,1,5,381.0,348
2017-03-01,2,1,3,2017,60,1,9,348.0,314
2017-04-01,5,2,4,2017,91,1,13,314.0,337
2017-05-01,0,2,5,2017,121,1,18,337.0,360
2017-06-01,3,2,6,2017,152,1,22,360.0,426
2017-07-01,5,3,7,2017,182,1,26,426.0,411
2017-08-01,1,3,8,2017,213,1,31,411.0,355
2017-09-01,4,3,9,2017,244,1,35,355.0,426
2017-10-01,6,4,10,2017,274,1,39,426.0,434
2017-11-01,2,4,11,2017,305,1,44,434.0,413
2017-12-01,4,4,12,2017,335,1,48,413.0,409
2018-01-01,0,1,1,2018,1,1,1,409.0,413
2018-02-01,3,1,2,2018,32,1,5,413.0,391
2018-03-01,3,1,3,2018,60,1,9,391.0,385
2018-04-01,6,2,4,2018,91,1,13,385.0,286
2018-05-01,1,2,5,2018,121,1,18,286.0,335
2018-06-01,4,2,6,2018,152,1,22,335.0,385
2018-07-01,6,3,7,2018,182,1,26,385.0,467
2018-08-01,2,3,8,2018,213,1,31,467.0,355
2018-09-01,5,3,9,2018,244,1,35,355.0,441
2018-10-01,0,4,10,2018,274,1,40,441.0,381
2018-11-01,3,4,11,2018,305,1,44,381.0,245
2018-12-01,5,4,12,2018,335,1,48,245.0,280
2019-01-01,1,1,1,2019,1,1,1,280.0,241
2019-02-01,4,1,2,2019,32,1,5,241.0,237
2019-03-01,4,1,3,2019,60,1,9,237.0,228
2019-04-01,0,2,4,2019,91,1,14,228.0,297
2019-05-01,2,2,5,2019,121,1,18,297.0,261
2019-06-01,5,2,6,2019,152,1,22,261.0,244
2019-07-01,0,3,7,2019,182,1,27,244.0,277
2019-08-01,3,3,8,2019,213,1,31,277.0,236
2019-09-01,6,3,9,2019,244,1,35,236.0,305
2019-10-01,1,4,10,2019,274,1,40,305.0,287
2019-11-01,4,4,11,2019,305,1,44,287.0,268
2019-12-01,6,4,12,2019,335,1,48,268.0,124
2020-01-01,2,1,1,2020,1,1,1,124.0,199
2020-02-01,5,1,2,2020,32,1,5,199.0,194
2020-03-01,6,1,3,2020,61,1,9,194.0,93
2020-05-01,4,2,5,2020,122,1,18,93.0,52
2020-06-01,0,2,6,2020,153,1,23,52.0,123
2020-07-01,2,3,7,2020,183,1,27,123.0,182
2020-08-01,5,3,8,2020,214,1,31,182.0,197
2020-09-01,1,3,9,2020,245,1,36,197.0,163
2020-10-01,3,4,10,2020,275,1,40,163.0,151
2020-11-01,6,4,11,2020,306,1,44,151.0,51
2020-12-01,1,4,12,2020,336,1,49,51.0,121
2021-01-01,4,1,1,2021,1,1,53,121.0,130
2021-02-01,0,1,2,2021,32,1,5,130.0,110
2021-03-01,0,1,3,2021,60,1,9,110.0,144
2021-04-01,3,2,4,2021,91,1,13,144.0,83
2021-05-01,5,2,5,2021,121,1,17,83.0,121
2021-06-01,1,2,6,2021,152,1,22,121.0,180
2021-07-01,3,3,7,2021,182,1,26,180.0,184
2021-08-01,6,3,8,2021,213,1,30,184.0,186
2021-09-01,2,3,9,2021,244,1,35,186.0,176
2021-10-01,4,4,10,2021,274,1,39,176.0,200
2021-11-01,0,4,11,2021,305,1,44,200.0,220
2021-12-01,2,4,12,2021,335,1,48,220.0,181
2022-01-01,5,1,1,2022,1,1,52,181.0,159
2022-02-01,1,1,2,2022,32,1,5,159.0,169
2022-03-01,1,1,3,2022,60,1,9,169.0,205
2022-04-01,4,2,4,2022,91,1,13,205.0,198
2022-05-01,6,2,5,2022,121,1,17,198.0,251
2022-06-01,2,2,6,2022,152,1,22,251.0,255
2022-07-01,4,3,7,2022,182,1,26,255.0,240
2022-08-01,0,3,8,2022,213,1,31,240.0,195
2022-09-01,3,3,9,2022,244,1,35,195.0,251
2022-10-01,5,4,10,2022,274,1,39,251.0,267
2022-11-01,1,4,11,2022,305,1,44,267.0,228
2022-12-01,3,4,12,2022,335,1,48,228.0,227
